"Protein","Variance"
"OID20775",8.93674540191513
"OID20984",8.45934738576953
"OID20083",6.27917839049552
"OID21402",4.47441528022826
"OID20911",4.13179108531457
"OID20850",4.08603920719453
"OID20101",4.08318205459438
"OID21140",4.08008985256418
"OID20563",4.07136636829732
"OID20125",4.05411776178376
"OID21485",4.04758119223758
"OID21276",4.0227657571805
"OID20594",3.96902062006948
"OID20779",3.92849291092233
"OID20983",3.91899013218571
"OID20643",3.80213445419482
"OID20049",3.79671634764873
"OID20312",3.67191153222172
"OID20246",3.61417745278448
"OID20495",3.59760619405933
"OID21031",3.58402318912818
"OID20778",3.49058258703006
"OID20127",3.4249223029169
"OID20274",3.40657766373573
"OID21373",3.40242810622464
"OID20559",3.39705391651488
"OID20218",3.37455659066058
"OID20263",3.33716716219918
"OID21489",3.33167156657661
"OID20219",3.24555770489442
"OID20192",3.23570382427414
"OID20896",3.23464832286268
"OID20399",3.17789765572856
"OID21297",3.1748129492529
"OID21348",3.13788078892626
"OID20593",3.10705653366221
"OID21395",3.06199190194666
"OID21507",3.02792506268055
"OID20729",3.02572754525983
"OID20220",2.99371327924266
"OID21411",2.99198879473207
"OID21387",2.96745942573877
"OID20266",2.95989994807159
"OID21461",2.95249070184413
"OID21475",2.87290195731828
"OID20671",2.81824645120479
"OID20950",2.80835563758817
"OID20206",2.7809037366095
"OID21250",2.77588312545946
"OID20579",2.76430585552141
"OID20761",2.75379363104871
"OID20711",2.73834119816234
"OID20707",2.7258140118218
"OID20760",2.69760429405791
"OID20672",2.64647428940569
"OID21277",2.63739853421177
"OID20169",2.63470776573235
"OID20524",2.60999336080456
"OID20523",2.57486852964162
"OID20544",2.56908483038683
"OID21047",2.56709535008106
"OID20258",2.55761353882853
"OID20112",2.55642050652675
"OID20993",2.55322557829915
"OID20656",2.54828641678146
"OID20863",2.54352677964273
"OID20640",2.48319609978125
"OID20596",2.4717560729316
"OID20625",2.46531922801604
"OID21097",2.45703605289442
"OID20166",2.45478518784348
"OID21306",2.43204481182059
"OID21176",2.42080441239207
"OID21118",2.41300541771735
"OID21332",2.38488043337998
"OID20551",2.37334419900215
