"factor","rank","feature","value","abs_weight","view"
"Factor1",1,"OID20626",0.502922177314758,0.502922177314758,"Protein"
"Factor1",2,"OID21143",0.496857523918152,0.496857523918152,"Protein"
"Factor1",3,"OID20691",0.494976431131363,0.494976431131363,"Protein"
"Factor1",4,"OID20167",0.485428929328918,0.485428929328918,"Protein"
"Factor1",5,"OID21476",0.482691913843155,0.482691913843155,"Protein"
"Factor1",6,"OID20270",0.477626353502274,0.477626353502274,"Protein"
"Factor1",7,"OID20783",0.472835749387741,0.472835749387741,"Protein"
"Factor1",8,"OID21110",0.471925556659698,0.471925556659698,"Protein"
"Factor1",9,"OID20713",0.46875137090683,0.46875137090683,"Protein"
"Factor1",10,"OID20233",0.466336727142334,0.466336727142334,"Protein"
"Factor1",11,"OID21118",0.461840629577637,0.461840629577637,"Protein"
"Factor1",12,"OID20935",0.460635095834732,0.460635095834732,"Protein"
"Factor1",13,"OID21122",0.460389703512192,0.460389703512192,"Protein"
"Factor1",14,"OID20720",0.459817439317703,0.459817439317703,"Protein"
"Factor1",15,"OID20339",0.459755003452301,0.459755003452301,"Protein"
"Factor1",16,"OID20294",0.459557801485062,0.459557801485062,"Protein"
"Factor1",17,"OID21318",0.456018179655075,0.456018179655075,"Protein"
"Factor1",18,"OID21023",0.455907106399536,0.455907106399536,"Protein"
"Factor1",19,"OID21012",0.45424023270607,0.45424023270607,"Protein"
"Factor1",20,"OID20786",0.451831579208374,0.451831579208374,"Protein"
"Factor2",1,"OID20126",0.00929158180952072,0.00929158180952072,"Protein"
"Factor2",2,"OID20579",-0.00914681423455477,0.00914681423455477,"Protein"
"Factor2",3,"OID20952",0.00807159207761288,0.00807159207761288,"Protein"
"Factor2",4,"OID20653",0.00716450624167919,0.00716450624167919,"Protein"
"Factor2",5,"OID20400",-0.00714761996641755,0.00714761996641755,"Protein"
"Factor2",6,"OID20985",0.0068163676187396,0.0068163676187396,"Protein"
"Factor2",7,"OID21144",-0.00658026756718755,0.00658026756718755,"Protein"
"Factor2",8,"OID21155",-0.00637052021920681,0.00637052021920681,"Protein"
"Factor2",9,"OID21001",0.00632777763530612,0.00632777763530612,"Protein"
"Factor2",10,"OID21375",-0.00615017674863338,0.00615017674863338,"Protein"
"Factor2",11,"OID20970",0.00600613187998533,0.00600613187998533,"Protein"
"Factor2",12,"OID20910",-0.00598239852115512,0.00598239852115512,"Protein"
"Factor2",13,"OID20178",-0.00592164974659681,0.00592164974659681,"Protein"
