"factor","rank","feature","value","abs_weight","view"
"Factor1",1,"ENSG00000184613",-0.0169803947210312,0.0169803947210312,"RNA"
"Factor1",2,"ENSG00000137965",0.0166648887097836,0.0166648887097836,"RNA"
"Factor1",3,"ENSG00000168062",-0.016557602211833,0.016557602211833,"RNA"
"Factor1",4,"ENSG00000211899",-0.016172094270587,0.016172094270587,"RNA"
"Factor1",5,"ENSG00000276107",0.0160957854241133,0.0160957854241133,"RNA"
"Factor1",6,"ENSG00000164047",-0.0149079570546746,0.0149079570546746,"RNA"
"Factor1",7,"ENSG00000137801",0.0144719853997231,0.0144719853997231,"RNA"
"Factor1",8,"ENSG00000278621",0.0137175619602203,0.0137175619602203,"RNA"
"Factor1",9,"ENSG00000115590",0.0134798381477594,0.0134798381477594,"RNA"
"Factor1",10,"ENSG00000104918",0.0133098065853119,0.0133098065853119,"RNA"
"Factor1",11,"ENSG00000099998",0.0129575384780765,0.0129575384780765,"RNA"
"Factor1",12,"ENSG00000110079",0.0127812018617988,0.0127812018617988,"RNA"
"Factor1",13,"ENSG00000133169",0.0126442518085241,0.0126442518085241,"RNA"
"Factor1",14,"ENSG00000173369",0.0119929071515799,0.0119929071515799,"RNA"
"Factor1",15,"ENSG00000173114",-0.0119758481159806,0.0119758481159806,"RNA"
"Factor1",16,"ENSG00000136999",-0.0117198601365089,0.0117198601365089,"RNA"
"Factor1",17,"ENSG00000112299",0.0114672938361764,0.0114672938361764,"RNA"
"Factor1",18,"ENSG00000185507",0.0112641705200076,0.0112641705200076,"RNA"
"Factor1",19,"ENSG00000125148",0.0111588938161731,0.0111588938161731,"RNA"
"Factor1",20,"ENSG00000188313",0.0111507000401616,0.0111507000401616,"RNA"
"Factor2",1,"ENSG00000227115",0.492612540721893,0.492612540721893,"RNA"
"Factor2",2,"ENSG00000286215",0.488815516233444,0.488815516233444,"RNA"
"Factor2",3,"ENSG00000140538",0.48841604590416,0.48841604590416,"RNA"
"Factor2",4,"ENSG00000185070",0.487674355506897,0.487674355506897,"RNA"
"Factor2",5,"ENSG00000237187",0.486537933349609,0.486537933349609,"RNA"
"Factor2",6,"ENSG00000185942",0.483959943056107,0.483959943056107,"RNA"
"Factor2",7,"ENSG00000178722",0.482748866081238,0.482748866081238,"RNA"
"Factor2",8,"ENSG00000273079",0.479620307683945,0.479620307683945,"RNA"
"Factor2",9,"ENSG00000138162",0.478689670562744,0.478689670562744,"RNA"
"Factor2",10,"ENSG00000232044",0.478364378213882,0.478364378213882,"RNA"
"Factor2",11,"ENSG00000273507",0.477607727050781,0.477607727050781,"RNA"
"Factor2",12,"ENSG00000148053",0.476995497941971,0.476995497941971,"RNA"
"Factor2",13,"ENSG00000277422",0.475648552179337,0.475648552179337,"RNA"
"Factor2",14,"ENSG00000242512",0.475644528865814,0.475644528865814,"RNA"
"Factor2",15,"ENSG00000224924",0.474277973175049,0.474277973175049,"RNA"
"Factor2",16,"ENSG00000153292",0.474228411912918,0.474228411912918,"RNA"
"Factor2",17,"ENSG00000123243",0.474098533391953,0.474098533391953,"RNA"
"Factor2",18,"ENSG00000206579",0.473708033561707,0.473708033561707,"RNA"
"Factor2",19,"ENSG00000273540",0.472956001758575,0.472956001758575,"RNA"
"Factor2",20,"ENSG00000234899",0.472684115171432,0.472684115171432,"RNA"
"Factor3",1,"ENSG00000164047",0.0211811866611242,0.0211811866611242,"RNA"
"Factor3",2,"ENSG00000121742",0.0194157082587481,0.0194157082587481,"RNA"
"Factor3",3,"ENSG00000012223",0.0192060060799122,0.0192060060799122,"RNA"
"Factor3",4,"ENSG00000137801",-0.0189238470047712,0.0189238470047712,"RNA"
"Factor3",5,"ENSG00000111335",-0.0185669083148241,0.0185669083148241,"RNA"
"Factor3",6,"ENSG00000148346",0.0181615222245455,0.0181615222245455,"RNA"
"Factor3",7,"ENSG00000262074",-0.0168103016912937,0.0168103016912937,"RNA"
"Factor3",8,"ENSG00000133101",-0.0165045596659184,0.0165045596659184,"RNA"
"Factor3",9,"ENSG00000137959",-0.0161474104970694,0.0161474104970694,"RNA"
"Factor3",10,"ENSG00000153823",-0.016007537022233,0.016007537022233,"RNA"
"Factor3",11,"ENSG00000278621",-0.0157149862498045,0.0157149862498045,"RNA"
"Factor3",12,"ENSG00000110079",-0.0156041355803609,0.0156041355803609,"RNA"
"Factor3",13,"ENSG00000161040",0.0155656849965453,0.0155656849965453,"RNA"
"Factor3",14,"ENSG00000089127",-0.0155011983588338,0.0155011983588338,"RNA"
"Factor3",15,"ENSG00000155659",-0.0154524752870202,0.0154524752870202,"RNA"
"Factor3",16,"ENSG00000088827",-0.015113340690732,0.015113340690732,"RNA"
"Factor3",17,"ENSG00000211949",-0.0149849765002728,0.0149849765002728,"RNA"
"Factor3",18,"ENSG00000211895",-0.0147811826318502,0.0147811826318502,"RNA"
"Factor3",19,"ENSG00000115590",-0.0146212019026279,0.0146212019026279,"RNA"
"Factor3",20,"ENSG00000229311",-0.014425115659833,0.014425115659833,"RNA"
"Factor4",1,"ENSG00000107201",-0.680863678455353,0.680863678455353,"RNA"
"Factor4",2,"ENSG00000146859",-0.66410893201828,0.66410893201828,"RNA"
"Factor4",3,"ENSG00000185507",-0.652776420116425,0.652776420116425,"RNA"
