"","RNA","Protein"
"Factor1",0.0642180442810059,29.4816970825195
"Factor2",28.5353064537048,0.0282526016235352
"Factor3",0.0568568706512451,13.724958896637
"Factor4",6.24450445175171,1.95517539978027
"Factor5",2.09406614303589,3.62914800643921
"Factor6",0.0314593315124512,5.44046759605408
"Factor7",2.4713397026062,1.91936492919922
"Factor8",0.0661015510559082,2.98709273338318
"Factor9",1.39816403388977,1.2001097202301
"Factor10",1.9988477230072,0.0421524047851562
"Factor11",1.66081190109253,0.290673971176147
"Factor12",1.79465413093567,0.00528693199157715
"Factor13",0.165706872940063,1.61460041999817
"Factor14",1.51991248130798,0.00706315040588379
"Factor15",1.03640556335449,0.406932830810547
