"Factor","View","Variance_Explained"
"Factor1","RNA",0.0642060386753074
"Factor2","RNA",28.5352903253541
"Factor3","RNA",0.0568628725779008
"Factor4","RNA",6.24447337890519
"Factor5","RNA",2.09406288632726
"Factor6","RNA",0.0313972460584622
"Factor7","RNA",2.4712984143626
"Factor8","RNA",0.0660869954870691
"Factor9","RNA",1.39813637371108
"Factor10","RNA",1.99882039520977
"Factor11","RNA",1.66082944692563
"Factor12","RNA",1.79462776119926
"Factor13","RNA",0.165696719153352
"Factor14","RNA",1.51991195859007
"Factor15","RNA",1.03640079065224
"Factor1","Protein",29.4816792142502
"Factor2","Protein",0.0282548419449857
"Factor3","Protein",13.7249580775873
"Factor4","Protein",1.95512385309076
"Factor5","Protein",3.6291457076541
"Factor6","Protein",5.44044969592484
"Factor7","Protein",1.91934264335338
"Factor8","Protein",2.98709284632108
"Factor9","Protein",1.20010289633572
"Factor10","Protein",0.0421510866429498
"Factor11","Protein",0.290667468628458
"Factor12","Protein",0.00529748358193416
"Factor13","Protein",1.61457893715695
"Factor14","Protein",0.00706032594196548
"Factor15","Protein",0.406928126507355
