"PC","Variance_Explained"
"PC1",18.0157891715652
"PC2",11.3836346894858
"PC3",6.12664894397507
"PC4",5.30764814855574
"PC5",3.18201287044829
"PC6",2.17278565853203
"PC7",2.00987333853586
"PC8",1.56563192287666
"PC9",1.43433701120518
"PC10",1.35822160487343
"PC11",1.24319925158336
"PC12",1.05220505112593
"PC13",1.01901237715538
"PC14",0.898898591902565
"PC15",0.830666508052329
"PC16",0.802591729216566
"PC17",0.707271418120785
"PC18",0.658315209224172
"PC19",0.615147249608894
"PC20",0.557153305570089
"PC21",0.53372427423597
"PC22",0.508386281790709
"PC23",0.469003175325445
"PC24",0.442791362926307
"PC25",0.426738238901397
"PC26",0.409247332244541
"PC27",0.403792996572287
"PC28",0.387077074355762
"PC29",0.3691201432341
"PC30",0.354314272197872
"PC31",0.348528525816636
"PC32",0.334721032163041
"PC33",0.325386604649819
"PC34",0.318707892894168
"PC35",0.313180624430038
"PC36",0.310009770687601
"PC37",0.300174312978919
"PC38",0.290731494741582
"PC39",0.286631092555867
"PC40",0.270376032800956
"PC41",0.263810323499413
"PC42",0.259768111713744
"PC43",0.255875952342761
"PC44",0.250891472254257
"PC45",0.2473454115123
"PC46",0.244730885948937
"PC47",0.243411595959645
"PC48",0.23725427345628
"PC49",0.231528413372431
"PC50",0.22577803432344
"PC51",0.222861460805048
"PC52",0.221498283762794
"PC53",0.219795022867859
"PC54",0.211948086949548
"PC55",0.210240983084082
"PC56",0.206495527257416
"PC57",0.204449869445225
"PC58",0.200997229295307
"PC59",0.198373843526211
"PC60",0.19684415695434
"PC61",0.193227990283295
"PC62",0.191928557752048
"PC63",0.190673648671946
"PC64",0.188869830106276
"PC65",0.187229041576808
"PC66",0.186270442888875
"PC67",0.185262887460221
"PC68",0.180682518674994
"PC69",0.179991602886705
"PC70",0.177069931809335
"PC71",0.174619624330596
"PC72",0.173005898379417
"PC73",0.171853191727501
"PC74",0.170002584845842
"PC75",0.167238180103907
"PC76",0.166623501458649
"PC77",0.162959060495397
"PC78",0.162471094228601
"PC79",0.161917419954086
"PC80",0.160055994482084
"PC81",0.157964803635527
"PC82",0.157497143923749
"PC83",0.156471711231394
"PC84",0.153894309571299
"PC85",0.152609767803606
"PC86",0.149628805209175
"PC87",0.14933227582261
"PC88",0.148067384964699
"PC89",0.145876837491802
"PC90",0.144989883291332
"PC91",0.143558286884209
"PC92",0.143050118312969
"PC93",0.142853406369896
"PC94",0.141652641363667
"PC95",0.140667333684156
"PC96",0.139789026355227
"PC97",0.137594235890739
"PC98",0.136427172188251
"PC99",0.136233933827532
"PC100",0.13525884142467
"PC101",0.133559400508471
"PC102",0.132217689849859
"PC103",0.131569971917521
"PC104",0.130509468598934
"PC105",0.12848501336273
"PC106",0.127633566953522
"PC107",0.127271959224436
"PC108",0.126006176055802
"PC109",0.124432089420308
"PC110",0.123614495188758
"PC111",0.123045553684247
"PC112",0.121800380914685
"PC113",0.121625122179181
"PC114",0.120504649382503
"PC115",0.119957065489622
"PC116",0.119111195561363
"PC117",0.118512999292881
"PC118",0.116809186112678
"PC119",0.116324472834471
"PC120",0.115103198193307
"PC121",0.114927281221961
"PC122",0.114653754462902
"PC123",0.113832300008573
"PC124",0.112601266645819
"PC125",0.112120282601299
"PC126",0.111404249925444
"PC127",0.110235208565553
"PC128",0.109841008525195
"PC129",0.108949455588995
"PC130",0.107403734279055
"PC131",0.107007438676352
"PC132",0.105235521499822
"PC133",0.104867550899971
"PC134",0.104447447451495
"PC135",0.104069580170795
"PC136",0.103714106750192
"PC137",0.102747675676576
"PC138",0.10205812746461
"PC139",0.100920295014647
"PC140",0.100134152098177
"PC141",0.0996333974066444
"PC142",0.0993043974954938
"PC143",0.0982182085245083
"PC144",0.0968176005772554
"PC145",0.0963413137268516
"PC146",0.0958183551511697
"PC147",0.0957120959762415
"PC148",0.0947522206424289
"PC149",0.0940248374128258
"PC150",0.0933298487114914
"PC151",0.0928058678950531
"PC152",0.092303772104549
"PC153",0.0918925295170674
"PC154",0.0916117553884283
"PC155",0.0904480895751506
"PC156",0.0895441737536855
"PC157",0.0894667800495866
"PC158",0.0893429044904241
"PC159",0.0888415554214554
"PC160",0.0883937040790421
"PC161",0.0875213062619679
"PC162",0.0871470860371256
"PC163",0.0862077984733179
"PC164",0.0854421110518484
"PC165",0.085141817849835
"PC166",0.0846549551289224
"PC167",0.0842090605157652
"PC168",0.0835673491284492
"PC169",0.0833366965491572
"PC170",0.082309414411778
"PC171",0.0819586263324954
"PC172",0.0813609145190102
"PC173",0.0809835103084032
"PC174",0.0804985469997547
"PC175",0.0802711303519463
"PC176",0.0797866889875963
"PC177",0.0793348704701864
"PC178",0.0790432509384039
"PC179",0.0789441933496687
"PC180",0.078001433191195
"PC181",0.0777013142458441
"PC182",0.0769530006793483
"PC183",0.0763939410607853
"PC184",0.0759612899045914
"PC185",0.0754123582899849
"PC186",0.0748537199019928
"PC187",0.0747355421698512
"PC188",0.073680236320677
"PC189",0.0734123891899205
"PC190",0.0729470715078961
"PC191",0.0727061205068837
"PC192",0.0721664188612754
"PC193",0.0719395142644696
"PC194",0.0713873448417218
"PC195",0.0712439943449948
"PC196",0.0702789487622804
"PC197",0.0699763818825266
"PC198",0.0697124472072931
"PC199",0.06935138841933
"PC200",0.0688941608571718
"PC201",0.0683451017520223
"PC202",0.0680581609830662
"PC203",0.0674618720922922
"PC204",0.0667084059750477
"PC205",0.0666337335805853
"PC206",0.066456220060929
"PC207",0.0659742450479206
"PC208",0.0657115181949297
"PC209",0.0651972357700163
"PC210",0.0650541655513904
"PC211",0.0644572072293463
"PC212",0.0643282938426548
"PC213",0.0637681982386959
"PC214",0.0633840683766133
"PC215",0.0629985469184767
