"Assay","Missing_N","Missing_Percent","Mean","SD","Median","Min","Max"
"OID20321",0,0,4.56288839285714,0.579913853099822,4.4678,3.2289,6.6948
"OID20206",0,0,5.22663099489796,1.66594604538269,5.2085,2.0168,10.9343
"OID20195",0,0,3.49420841836735,0.905794102739355,3.3574,1.3423,7.0865
"OID20094",0,0,2.41063788265306,0.55151591810618,2.367,1.0436,6.1461
"OID20216",0,0,3.26150522959184,0.91460349625515,3.2493,0.962,5.7029
"OID20106",0,0,2.79270089285714,0.900303566719008,2.6677,0.8553,5.5091
"OID20324",0,0,6.06801352040816,0.912097810270497,6.1721,2.9375,9.3616
"OID20299",0,0,2.94095076530612,1.18399989412879,2.6686,0.7801,8.821
"OID20381",0,0,4.54542232142857,0.572647273855931,4.5061,2.7897,7.8256
"OID20187",0,0,2.65900548469388,1.48621432811739,2.6627,-1.2885,6.438
"OID20202",0,0,2.98937984693878,0.58263558203903,2.9698,0.4443,5.7931
"OID20180",0,0,3.98409693877551,0.611859612935913,3.9633,2.2437,5.9718
"OID20099",0,0,1.82766517857143,0.657642949607963,1.7123,0.4784,5.0466
"OID20281",0,0,6.64083265306122,0.690267600045922,6.6433,3.7379,8.6709
"OID20385",0,0,4.37494196428571,0.584092865621298,4.3585,2.9072,7.4493
"OID20097",0,0,2.81883673469388,1.19010083317826,2.5993,0.5933,7.9269
"OID20300",0,0,3.40871785714286,0.582896005798624,3.3249,1.594,5.3334
"OID20383",0,0,3.97577984693878,1.08578846536598,3.7614,1.7644,8.7198
"OID20396",0,0,3.75870854591837,0.651181190473113,3.7297,2.1058,6.2873
"OID20159",0,0,2.61930076530612,0.604511092364102,2.6183,0.9439,4.6811
"OID20120",0,0,0.195390816326531,0.182739002561891,0.1849,-0.2603,1.3258
"OID20154",0,0,3.03594897959184,0.765297619214884,2.8761,1.3832,6.3819
"OID20287",0,0,4.25486977040816,0.335958158416093,4.2297,3.1844,5.8935
"OID20401",0,0,6.75605522959184,0.715396898832355,6.7176,4.5271,12.6312
"OID20310",0,0,3.79440255102041,0.493842436874721,3.7615,2.5224,5.7553
"OID20265",0,0,3.12528558673469,0.747698443020266,3.0382,0.5093,5.6976
"OID20148",0,0,2.98554528061225,0.762916313853946,2.9512,0.4329,5.8179
"OID20279",0,0,1.39977474489796,0.859392542984494,1.2988,-0.5753,4.4464
"OID20071",0,0,1.4356112244898,0.715489074772677,1.3049,-0.0902,5.4599
"OID20069",0,0,0.767099107142857,0.48224652451613,0.7132,-0.2396,5.633
"OID20179",0,0,1.74711977040816,1.074077198188,1.6282,-0.623,8.5569
"OID20286",0,0,1.4092674744898,0.951366511100036,1.2373,-0.6352,6.5898
"OID20273",0,0,1.83891109693878,0.424391387247889,1.7763,0.5806,3.9885
"OID20133",0,0,1.84512869897959,0.675295213041241,1.7491,0.3535,5.0153
"OID20395",0,0,6.02236326530612,1.0343676278309,6.0094,3.0476,13.8497
"OID20157",0,0,1.03236364795918,0.597722288456315,0.9459,-0.4918,5.0679
"OID20325",0,0,7.03445408163265,1.29365446317719,6.9778,3.497,10.9394
"OID20196",0,0,2.31130420918367,0.816070906361445,2.2513,0.331,5.6805
"OID20341",0,0,7.71984987244898,0.601063272159589,7.7325,5.9145,9.5867
"OID20407",0,0,4.44549719387755,0.631436808281642,4.394,1.819,6.9609
"OID20104",0,0,2.90478303571429,0.600929266194076,2.9436,0.8557,4.434
"OID20096",0,0,2.67766288265306,0.903584946981241,2.6843,0.0843,10.589
"OID20261",0,0,4.32308596938775,0.858076663975212,4.3692,0.746,6.7576
"OID20138",0,0,2.06862028061224,1.48088168773268,1.798,-0.3674,8.5357
"OID20175",0,0,2.91950076530612,1.38886420785712,2.7123,-0.0906,8.171
"OID20144",0,0,2.60067270408163,0.959380874866628,2.4229,0.6585,6.5807
"OID20260",0,0,4.17569030612245,0.628902528499375,4.1157,2.5798,7.0987
"OID20254",0,0,4.94492206632653,1.07248774591817,4.8867,2.0565,9.0522
"OID20113",0,0,3.39234808673469,0.843901748696063,3.427,0.0811,5.7995
"OID20302",0,0,5.89049808673469,0.758360732414908,5.8263,3.2532,8.8039
"OID20344",0,0,0.887032142857143,1.00158345157045,0.6248,-0.9343,7.4508
"OID20360",0,0,3.31011058673469,0.702111152525585,3.2136,1.4516,7.5405
"OID20377",0,0,3.41524336734694,0.701042534792387,3.2484,1.8909,9.3194
"OID20143",0,0,1.86643367346939,0.648224193269188,1.7858,0.4879,4.5636
"OID20122",0,0,2.20970089285714,1.12654413400509,1.899,0.3275,8.0805
"OID20167",0,0,2.21466301020408,0.878219755215748,2.0525,0.6798,6.3299
"OID20408",0,0,4.39932155612245,1.03303136693169,4.1709,2.2347,9.1554
"OID20359",0,0,3.37315867346939,1.13804305948306,3.2153,1.0318,7.3047
"OID20410",0,0,4.82345854591837,0.660185132963768,4.9194,1.9411,6.4072
"OID20109",0,0,3.59926084183673,0.522769910813944,3.582,1.8287,6.6159
"OID20290",0,0,5.75658367346939,0.718909840105515,5.7824,3.6364,8.8966
"OID20257",0,0,1.08122283163265,0.30762070835043,1.0555,0.2307,3.0362
"OID20107",0,0,6.21166288265306,1.03344465286548,6.0774,3.8266,10.2799
"OID20312",0,0,4.90884336734694,1.92651203750011,5.4117,-1.3944,8.1876
"OID20314",0,0,4.5497568877551,0.768111743183474,4.5224,2.7518,7.5129
"OID20386",0,0,1.65321058673469,0.872918220508775,1.4707,0.2027,5.4313
"OID20292",0,0,5.92845969387755,1.37291029952131,5.6485,3.1355,10.5582
"OID20350",0,0,1.37925510204082,0.532471030972118,1.2729,0.3681,3.6634
"OID20241",0,0,2.20074846938776,0.428534843185433,2.1606,0.9733,4.1728
"OID20358",0,0,2.17708775510204,0.626027488331117,2.0821,0.8069,7.0374
"OID20266",0,0,4.36027091836735,1.77768244095073,3.9132,1.2608,9.666
"OID20413",0,0,4.93672933673469,0.96098313376373,4.6971,2.7782,9.3341
"OID20203",0,0,2.31238265306122,1.51208539439034,2.0605,-1.8552,7.4948
"OID20220",0,0,4.3401362244898,1.80323467710931,4.2202,0.2504,10.4002
"OID20171",0,0,2.87562448979592,0.87342374543687,2.781,0.9793,5.9026
"OID20100",0,0,1.65540943877551,0.381358776865572,1.6344,0.5154,3.5707
"OID20050",0,0,1.05592461734694,1.51967055958658,0.6288,-1.878,9.0536
"OID20101",0,0,5.8482631377551,2.05833196695463,5.7598,0.8052,13.0195
"OID20361",0,0,3.43243928571429,0.55300219846491,3.3352,2.2207,6.4175
"OID20077",0,0,2.19395229591837,0.807493562960135,2.081,0.0563,6.5427
"OID20379",0,0,3.21042181122449,0.930426395458178,3.1616,0.9354,7.0628
"OID20293",0,0,3.37228762755102,0.999817530727953,3.205,1.3934,8.2152
"OID20194",0,0,4.92011352040816,0.659406646181014,4.8575,3.1231,8.3534
"OID20387",0,0,1.9305743622449,0.591603373199432,1.9027,-0.1271,4.038
"OID20210",0,0,4.64730714285714,0.569405648184059,4.6643,2.7166,6.3981
"OID20389",0,0,1.57313341836735,0.453656962497576,1.533,-0.2534,3.6355
"OID20307",0,0,1.47275165816327,0.407580457731606,1.4532,0.5033,3.5492
"OID20212",0,0,2.72406084183673,0.634153824246888,2.6683,0.9612,5.493
"OID20217",0,0,5.89712678571429,0.973263452076973,5.8162,3.7326,12.2569
"OID20372",0,0,3.59872576530612,0.529012298731196,3.6137,0.568,5.5478
"OID20205",0,0,2.46314897959184,1.0756933320525,2.1773,0.4247,7.3016
