"Public_ID","Day","Missing_N","Missing_Percent"
"1_D0","0",0,0
"1_D3","3",0,0
"2_D0","0",0,0
"2_D3","3",0,0
"3_D0","0",0,0
"3_D3","3",0,0
"4_D0","0",0,0
"4_D3","3",0,0
"5_D0","0",0,0
"5_D3","3",0,0
"5_D7","7",0,0
"6_D0","0",0,0
"6_D3","3",0,0
"6_D7","7",0,0
"7_D0","0",0,0
"7_D3","3",0,0
"8_D0","0",0,0
"9_D0","0",0,0
"9_D3","3",0,0
"10_D0","0",0,0
"11_D0","0",0,0
"12_D0","0",0,0
"12_D3","3",0,0
"12_D7","7",0,0
"12_DE","E",0,0
"13_D0","0",0,0
"13_D3","3",0,0
"14_D0","0",0,0
"14_D3","3",0,0
"14_D7","7",0,0
"15_D0","0",0,0
"15_D3","3",0,0
"15_D7","7",0,0
"15_DE","E",0,0
"16_D0","0",0,0
"17_D0","0",0,0
"17_D3","3",0,0
"18_D0","0",0,0
"18_D3","3",0,0
"19_D0","0",0,0
"19_D3","3",0,0
"19_D7","7",0,0
"20_D0","0",0,0
"20_D3","3",0,0
"20_D7","7",0,0
"21_D0","0",0,0
"22_D0","0",0,0
"22_D3","3",0,0
"22_D7","7",0,0
"23_D0","0",0,0
"23_D3","3",0,0
"24_D0","0",0,0
"24_D3","3",0,0
"25_D0","0",0,0
"26_D0","0",0,0
"27_D0","0",0,0
"28_D0","0",0,0
"29_D0","0",0,0
"29_D3","3",0,0
"29_D7","7",0,0
"29_DE","E",0,0
"30_D0","0",0,0
"31_D0","0",0,0
"32_D0","0",0,0
"32_D3","3",0,0
"32_D7","7",0,0
"33_D0","0",0,0
"34_D0","0",0,0
"35_D0","0",0,0
"35_D3","3",0,0
"36_D0","0",0,0
"36_D3","3",0,0
"36_D7","7",0,0
"37_D0","0",0,0
"37_D3","3",0,0
"37_D7","7",0,0
"38_D0","0",0,0
"38_D3","3",0,0
"39_D0","0",0,0
"39_D3","3",0,0
"39_D7","7",0,0
"39_DE","E",0,0
"40_D0","0",0,0
"40_D3","3",0,0
"41_D0","0",0,0
"42_D0","0",0,0
"42_D3","3",0,0
"42_D7","7",0,0
"42_DE","E",0,0
"43_D0","0",0,0
"43_D3","3",0,0
"43_D7.1","7",0,0
"44_D0","0",0,0
"45_D0","0",0,0
"45_D3","3",0,0
"45_D7","7",0,0
"46_D0","0",0,0
"47_D0","0",0,0
"48_D0","0",0,0
"48_D3","3",0,0
"49_D0","0",0,0
"49_D3","3",0,0
"49_D7","7",0,0
"49_DE","E",0,0
"50_D0","0",0,0
"50_D3","3",0,0
"50_D7","7",0,0
"51_D0","0",0,0
"52_D0","0",0,0
"52_D3","3",0,0
"52_D7","7",0,0
"53_D0","0",0,0
"53_D3","3",0,0
"53_D7","7",0,0
"54_D0","0",0,0
"54_D3","3",0,0
"54_D7","7",0,0
"54_DE","E",0,0
"55_D0","0",0,0
"56_D0","0",0,0
"57_D0","0",1,0.0699790062981106
"57_D3","3",0,0
"58_D0","0",1,0.0699790062981106
"59_D0","0",0,0
"59_D3","3",0,0
"59_D3.1","3",0,0
"60_D0","0",0,0
"61_D0","0",0,0
"61_D3","3",0,0
"61_D7","7",0,0
"62_D0","0",0,0
"63_D0","0",0,0
"63_D3","3",0,0
"64_D0","0",0,0
"65_D0","0",0,0
"66_D0","0",0,0
"66_D3","3",0,0
"66_D7","7",0,0
"66_DE","E",0,0
"67_D0","0",0,0
"68_D0","0",0,0
"69_D0","0",0,0
"70_D0","0",0,0
"71_D0","0",0,0
"72_D0","0",0,0
"73_D0","0",0,0
"74_D0","0",0,0
"74_D3","3",0,0
"74_D7","7",0,0
"75_D0","0",0,0
"76_D0","0",0,0
"76_D3","3",0,0
"77_D0","0",0,0
