"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20079",-0.511933661202183,2.80636382356186e-05,"Down",TRUE,-0.24209179629328,0.0494209023320101,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.269841864908903
"OID20102",-0.636317595628413,3.61542785532781e-05,"Down",TRUE,-0.391945510941448,0.0167149751330364,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.244372084686965
"OID20103",-0.589985905842788,2.65891101491332e-05,"Down",TRUE,-0.422627909218067,0.00681378652245131,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.167357996624721
"OID20110",-0.526673665405631,0.000484982363705496,"Down",TRUE,-0.43227218323045,0.015567395239766,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.0944014821751811
"OID20137",0.512532728036989,0.00155956779431235,"Up",TRUE,0.431850202064591,0.0216204293280456,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.0806825259723981
"OID20158",-0.683795922656575,0.000124117391699033,"Down",TRUE,-0.354012515137682,0.0568407422270476,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.329783407518893
"OID20166",0.61200040353089,0.012904995285142,"Up",TRUE,0.549940957443391,0.0514837249353467,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.0620594460874998
"OID20175",-0.901902723833538,4.44580029571753e-06,"Down",TRUE,-0.356750411063706,0.0855216527639759,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.545152312769833
"OID20187",0.66497664144598,0.00121272318376645,"Up",TRUE,0.289512776529728,0.154079248464709,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.375463864916252
"OID20205",-0.740879352669185,6.01406111131851e-07,"Down",TRUE,-0.435634319504242,0.00224169987576913,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.305245033164943
"OID20233",-0.819583593947033,7.0441859764159e-07,"Down",TRUE,-0.450628153789163,0.00353902226486085,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.36895544015787
"OID20237",0.514552597730136,4.19376566105217e-06,"Up",TRUE,0.34690125161444,0.00196971531242997,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.167651346115696
