"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20329",0.453720588482553,4.72451248578103e-05,"NS",FALSE,0.525385966375135,2.12261714747402e-05,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.0716653778925819
"OID20429",0.35496618327028,0.00277104910883341,"NS",FALSE,0.583146166538777,2.11577291155373e-07,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.228179983268497
"OID20534",0.376795451870532,0.00435713035517746,"NS",FALSE,0.511504898695072,0.000491634020771563,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.13470944682454
"OID20557",0.41736758722152,3.70332201466421e-05,"NS",FALSE,0.514909315678187,2.12346888357345e-06,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.0975417284566668
"OID20601",0.409529415720891,0.00769483947353123,"NS",FALSE,0.520896660336335,0.00101906328577171,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.111367244615444
"OID20617",0.344903408995376,0.00796298607473914,"NS",FALSE,0.557966280336429,1.0000672110852e-05,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.213062871341054
"OID20630",0.467370197561999,0.000802706830398478,"NS",FALSE,0.538976115246866,0.000417016448693036,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.0716059176848669
"OID20649",-0.46152428751576,8.47312650988e-07,"NS",FALSE,-0.554489851277068,1.32327350604942e-07,"Down",TRUE,"New_After_Adjustment",FALSE,FALSE,-0.0929655637613078
"OID20704",0.35598554854981,0.0300498123431585,"NS",FALSE,0.530630999410487,0.00285673017178612,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.174645450860678
"OID20732",0.40806730979403,0.00865034843850596,"NS",FALSE,0.617220117940378,0.000195404387500681,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.209152808146348
"OID20856",0.209437192097519,0.381629658375129,"NS",FALSE,0.560351147106647,0.014733489166113,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.350913955009128
"OID20960",0.46823277847835,0.00271790012221218,"NS",FALSE,0.667546514350097,8.23669848162771e-05,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.199313735871747
"OID20962",0.455290088272381,0.00290324960048314,"NS",FALSE,0.561845281477309,0.00116876021113988,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.106555193204928
"OID20966",0.480163787305589,1.62353971603881e-05,"NS",FALSE,0.590182067923645,1.38439316114357e-06,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.110018280618056
"OID21003",0.466810176544765,0.0334493562536123,"NS",FALSE,0.615595410245059,0.0135514076413177,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.148785233700294
"OID21021",0.294954548129465,0.0893687979692636,"NS",FALSE,0.50447723894947,0.0055092003405743,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.209522690820006
"OID21024",0.332078192517864,0.029005421770518,"NS",FALSE,0.514372727505762,0.00138274656997137,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.182294534987898
"OID21034",0.463215220680956,0.00066934353546225,"NS",FALSE,0.582290113438968,6.04265995969076e-05,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.119074892758011
"OID21118",0.121557448507777,0.68098579317187,"NS",FALSE,0.522383187456702,0.0274032183836494,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.400825738948925
"OID21156",0.455525388818828,0.00895464844476831,"NS",FALSE,0.555416917180507,0.00336610288530362,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.0998915283616791
"OID21381",0.334231609920135,0.0161177128294628,"NS",FALSE,0.526880591546052,0.000159818126716281,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.192648981625917
"OID21403",0.301562959226565,0.0676357986693422,"NS",FALSE,0.522093676136504,0.000997951721874721,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.220530716909939
"OID21418",0.408879050021016,0.00709627382546715,"NS",FALSE,0.615510713746914,1.67452674230878e-05,"Up",TRUE,"New_After_Adjustment",FALSE,FALSE,0.206631663725898
