"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20049",-1.77180200084068,2.79886475430597e-10,"Down",TRUE,-1.10697550472967,1.0009311374796e-05,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.664826496111014
"OID20096",0.767090689365277,6.29663810204275e-10,"Up",TRUE,0.788493238360269,1.43232466909888e-08,"Up",TRUE,"Significant_Both",TRUE,FALSE,0.0214025489949919
"OID20101",0.631788583438419,0.0168062002197747,"Up",TRUE,0.76834881739438,0.00785347802789384,"Up",TRUE,"Significant_Both",TRUE,FALSE,0.13656023395596
"OID20104",0.687150277427488,5.75464879215907e-18,"Up",TRUE,0.634333167717184,7.16761955620706e-13,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0528171097103042
"OID20113",0.665054010088269,6.30114689907281e-09,"Up",TRUE,0.725977647226903,1.65333002062434e-08,"Up",TRUE,"Significant_Both",TRUE,FALSE,0.0609236371386347
"OID20116",-0.785188726355608,3.39241571276525e-22,"Down",TRUE,-0.632630731507023,1.75771002431597e-14,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.152557994848585
"OID20117",0.62857511979823,0.000917222758090847,"Up",TRUE,0.549830310771062,0.011251449468684,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0787448090271683
"OID20125",-1.91150527112231,8.97387590545763e-11,"Down",TRUE,-1.18908749755758,3.39432956633046e-06,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.722417773564734
"OID20126",-0.723633972257247,5.07575049564966e-15,"Down",TRUE,-0.617668358660895,1.40909574867478e-10,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.105965613596352
"OID20129",-0.67971461958806,1.40747770241324e-08,"Down",TRUE,-0.576093891583757,3.00667262163663e-05,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.103620728004303
"OID20145",-0.622223270281628,2.31345017157008e-13,"Down",TRUE,-0.52989201141755,3.87122227992794e-09,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.0923312588640786
"OID20148",0.544972559899115,5.53833551676286e-07,"Up",TRUE,0.542803103169097,4.72534646359665e-06,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.00216945673001823
"OID20157",-0.688376267339215,8.59890227080251e-16,"Down",TRUE,-0.615821241452943,5.60784698060964e-12,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.0725550258862718
"OID20173",-0.587470840689363,9.07038443991561e-14,"Down",TRUE,-0.517772045623654,1.03485032837362e-09,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.0696987950657093
"OID20178",2.05326390500209,3.9015371720285e-34,"Up",TRUE,1.96002515966242,1.37576951799449e-27,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0932387453396724
"OID20180",0.664997540983604,3.83036702611227e-16,"Up",TRUE,0.629738794625988,8.01722149783281e-13,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0352587463576163
"OID20200",-1.13740756620428,2.07858359465122e-08,"Down",TRUE,-0.735745411232898,0.00123390154651876,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.401662154971384
"OID20211",0.662627406473305,4.24614531646857e-13,"Up",TRUE,0.646851890400778,1.60646918428395e-10,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0157755160725268
"OID20214",-0.707801298865064,1.81248722829403e-05,"Down",TRUE,-0.570970639364289,0.00225429552201507,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.136830659500775
"OID20217",0.517016935687262,0.000230540248593091,"Up",TRUE,0.593312775868716,0.000191908090445858,"Up",TRUE,"Significant_Both",TRUE,FALSE,0.0762958401814532
"OID20220",-1.11086792349727,1.84067356920603e-05,"Down",TRUE,-0.932187947920852,0.00140850993413283,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.178679975576413
"OID20224",-0.827773404791925,3.39971913020114e-25,"Down",TRUE,-0.670428037433063,6.32970182909186e-19,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.157345367358862
"OID20227",1.12579089533417,7.7451252852176e-11,"Up",TRUE,1.02948836856505,8.76921146332379e-08,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0963025267691164
"OID20234",1.50991485498108,1.34447344287478e-26,"Up",TRUE,1.40417716480759,3.65569832413078e-19,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.105737690173486
"OID20239",-0.955242063892385,2.22587566139311e-15,"Down",TRUE,-0.732685831119532,9.19999269349407e-10,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.222556232772853
"OID20244",0.646791244220258,0.000255969377184048,"Up",TRUE,0.559619544165105,0.00534755720905002,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0871717000551537
"OID20265",-0.795173547709118,8.68386562221454e-17,"Down",TRUE,-0.674691154313042,2.86617082815039e-11,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.120482393396075
