"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20049",-1.77180200084068,2.79886475430597e-10,"Down",TRUE,-1.10697550472967,1.0009311374796e-05,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.664826496111014
"OID20050",-0.261644775115593,0.251410949294435,"NS",FALSE,-0.0587099918108049,0.85119084215384,"NS",FALSE,"NS_Both",TRUE,FALSE,0.202934783304789
"OID20051",-0.0281825262715426,0.755976698510833,"NS",FALSE,0.0322776056896604,0.76627171118113,"NS",FALSE,"NS_Both",TRUE,FALSE,0.060460131961203
"OID20052",0.0583544724674234,0.437135391351157,"NS",FALSE,0.0838388918021473,0.29990222854715,"NS",FALSE,"NS_Both",TRUE,FALSE,0.025484419334724
"OID20053",0.162367553593946,0.198577024113433,"NS",FALSE,0.249521078020098,0.0708638413300574,"NS",FALSE,"NS_Both",TRUE,FALSE,0.087153524426152
"OID20055",0.0912491340899533,0.216022521106205,"NS",FALSE,0.041144543635511,0.685617044916714,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0501045904544423
"OID20056",-0.00677307271963013,0.946959949176692,"NS",FALSE,-0.00336364164506783,0.980502296852737,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0034094310745623
"OID20057",0.0263039974779323,0.684100380764275,"NS",FALSE,0.0238933221449444,0.765041751133123,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.00241067533298794
"OID20058",-0.00614004203446829,0.952688887627295,"NS",FALSE,0.000986009550583771,0.993188170314905,"NS",FALSE,"NS_Both",TRUE,FALSE,0.00712605158505206
"OID20059",-0.0387448045397216,0.622588974638267,"NS",FALSE,-0.0654858209163687,0.452630580961216,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0267410163766471
"OID20061",0.0110589491382928,0.943410373691617,"NS",FALSE,0.0859422209493081,0.54571746311766,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0748832718110153
"OID20062",-0.0808730432955018,0.383610612907257,"NS",FALSE,-0.0189121043857601,0.893421713770787,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0619609389097417
"OID20063",0.0252679361076081,0.773595657911655,"NS",FALSE,0.0742164254751067,0.437736881541208,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0489484893674986
"OID20064",-0.234850243799915,7.46135738757998e-05,"NS",FALSE,-0.195214986647589,0.00534755720905002,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0396352571523262
"OID20065",0.0364269272803697,0.403086229485382,"NS",FALSE,0.0524002499363087,0.28425557367653,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0159733226559389
"OID20066",-0.0510791382934002,0.455332942511889,"NS",FALSE,-0.0206189489977353,0.833865788619801,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0304601892956649
"OID20067",0.164453589743589,0.0355790288048424,"NS",FALSE,0.157605070218497,0.0897182669794617,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.00684851952509236
"OID20068",0.0620059100462374,0.382033831540276,"NS",FALSE,0.0894234936567681,0.260094981691246,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0274175836105307
"OID20069",0.0101624968474153,0.921658916859539,"NS",FALSE,0.0140175335540368,0.903221446253416,"NS",FALSE,"NS_Both",TRUE,FALSE,0.00385503670662141
"OID20070",0.0797672215216484,0.466336747967379,"NS",FALSE,0.0253526230592585,0.873948662978411,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0544145984623899
"OID20071",0.215632248844051,0.0147833776983426,"NS",FALSE,0.253283193880748,0.0123398768147776,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0376509450366964
"OID20072",0.057243665405632,0.200425245653034,"NS",FALSE,0.077829139738063,0.124837710525305,"NS",FALSE,"NS_Both",TRUE,FALSE,0.020585474332431
"OID20073",0.0968680748213534,0.0530821805884256,"NS",FALSE,0.0916527257515149,0.126892470855382,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.00521534906983853
"OID20074",0.139037473728457,0.061843108689784,"NS",FALSE,0.243970880374694,0.00141826915080849,"NS",FALSE,"NS_Both",TRUE,FALSE,0.104933406646237
"OID20075",0.146762875157628,0.576998606833839,"NS",FALSE,0.346184550156751,0.185405787650092,"NS",FALSE,"NS_Both",TRUE,FALSE,0.199421674999122
"OID20076",-0.415748507776376,0.00119595548616429,"NS",FALSE,-0.194657886577025,0.215973193435768,"NS",FALSE,"NS_Both",TRUE,FALSE,0.22109062119935
"OID20077",-0.0179161748633878,0.923287518427348,"NS",FALSE,0.137890993540976,0.387923211796524,"NS",FALSE,"NS_Both",TRUE,FALSE,0.155807168404364
"OID20078",0.0463418158890293,0.740654112040903,"NS",FALSE,0.0412528741457761,0.81034057810879,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.00508894174325322
"OID20079",-0.511933661202183,2.80636382356186e-05,"Down",TRUE,-0.24209179629328,0.0494209023320101,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,0.269841864908903
"OID20080",0.00279707019756219,0.963661925094992,"NS",FALSE,0.00256446211098799,0.972823763896195,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.000232608086574202
"OID20081",-0.451770836485917,2.79999952287892e-09,"NS",FALSE,-0.357864744215531,3.41981256244579e-05,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0939060922703867
"OID20082",0.332399533417401,0.000302390507692821,"NS",FALSE,0.426573963530227,2.56636588420615e-05,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0941744301128253
"OID20083",-0.361075262715425,0.0156670657250642,"NS",FALSE,-0.271348481473503,0.121419944152716,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0897267812419223
"OID20084",0.0890221479613277,0.403086229485382,"NS",FALSE,0.156411704786887,0.170182371885354,"NS",FALSE,"NS_Both",TRUE,FALSE,0.067389556825559
"OID20085",0.129795460277427,0.307776535574081,"NS",FALSE,0.155797718171975,0.293024226910015,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0260022578945479
"OID20086",-0.0703751071878952,0.74042489958596,"NS",FALSE,0.0793370510019632,0.759827165208954,"NS",FALSE,"NS_Both",TRUE,FALSE,0.149712158189858
"OID20087",-0.450588999579653,7.76729809919198e-06,"NS",FALSE,-0.260884928687549,0.0128973620293723,"NS",FALSE,"NS_Both",TRUE,FALSE,0.189704070892104
"OID20088",0.0796174148802014,0.140316195164402,"NS",FALSE,0.0987931336743246,0.11151984615235,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0191757187941233
"OID20089",-0.13725029003783,0.0122264134564659,"NS",FALSE,-0.0254464076627206,0.739664317372094,"NS",FALSE,"NS_Both",TRUE,FALSE,0.11180388237511
"OID20090",-0.24817949138293,0.274078534327589,"NS",FALSE,0.166386565064147,0.494065489151982,"NS",FALSE,"NS_Both",TRUE,FALSE,0.414566056447077
"OID20091",-0.00623018495166025,0.968625122517832,"NS",FALSE,0.0787203141137487,0.569754647876555,"NS",FALSE,"NS_Both",TRUE,FALSE,0.084950499065409
"OID20092",0.205574535519125,0.0161177128294628,"NS",FALSE,0.294831342959063,0.00179610820950557,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0892568074399381
