"Protein","t","UniProt","ENTREZID"
"OID21481",14.7071366513125,"P20851","725"
"OID20697",14.4996085856876,"P02778","3627"
"OID20178",14.1292015697534,"O95544","65220"
"OID21226",13.9957433163506,"O95786","23586"
"OID20341",13.7603994017294,"P20062","6948"
"OID21044",13.6158559607003,"Q6P4E1","113201"
"OID20795",13.3809186175849,"Q8IU54","282618"
"OID20234",12.1032527972381,"P19971","1890"
"OID20436",11.9036579372792,"P28838","51056"
"OID20523",11.8799821166216,"P80098","6354"
"OID21466",11.2042112276402,"P80075","6355"
"OID21042",11.1101607198021,"O14625","6373"
"OID20750",10.6503038859215,"O14773","1200"
"OID20604",10.5720694432236,"P10144","3002"
"OID21429",10.521832746986,"Q96JA1","26018"
"OID20654",10.4677211980829,"P02745","712"
"OID20536",10.0938152868779,"Q8IVG5","219285"
"OID20773",10.0886761433417,"Q99538","5641"
"OID21029",10.0470067046678,"Q10589","684"
"OID20781",10.0124991764006,"O00182","3965"
"OID21187",9.8862632397509,"P31350","6241"
"OID21514",9.715771230116,"P09958","5045"
"OID20104",9.58099759560054,"O75356","957"
"OID20362",9.36122970399095,"P14543","4811"
"OID20638",9.18334374882524,"Q9UQV4","27074"
"OID21159",9.13822464640881,"P28799","2896"
"OID20180",9.00682127784,"Q9GZM7","64129"
"OID21062",9.00177104234037,"P14207","2350"
"OID21084",8.76035428668958,"P23381","7453"
"OID20652",8.08742784391044,"Q13478","8809"
"OID20495",8.06056826450646,"P01579","3458"
"OID21315",8.01356314419695,"P18627","3902"
"OID21028",7.99610189060309,"P17405","6609"
"OID20690",7.99409751151107,"Q9BZZ2","6614"
"OID20211",7.96566913066193,"O95841","9068"
"OID20302",7.84877103896662,"P15907","6480"
"OID20355",7.33724449162695,"P18428","3929"
"OID20883",7.20744115203852,"Q8WUW1","55845"
"OID20227",7.14073376601889,"P09467","2203"
"OID20953",7.10095605825004,"O43557","8740"
"OID21112",7.02394902647135,"Q9Y240","6320"
"OID20705",6.98742158728597,"P21860","2065"
"OID20378",6.94168862541848,"P08571","929"
"OID21322",6.9336203995468,"Q11201","6482"
"OID21195",6.91979725708798,"O75493","770"
"OID20904",6.87708894390794,"Q9Y6D9","8379"
"OID21494",6.81581189591156,"Q92832","4745"
"OID20096",6.77057160654245,"P20718","2999"
"OID21421",6.68680714926918,"Q6PCB0","64856"
"OID20989",6.66786318987345,"Q9UL46","5721"
"OID21138",6.63943607238234,"P15289","410"
"OID20416",6.50905375561369,"Q92820","8836"
"OID20660",6.39051310201438,"P43234","1519"
"OID20533",6.38534772676743,"P19474","6737"
"OID20113",6.35581925354662,"P09668","1512"
"OID20692",6.30807521535688,"P09326","962"
"OID20969",6.29833990292236,"Q06323","5720"
"OID20599",6.2626044524273,"P32970","970"
"OID21515",6.23675246710672,"O75629","8804"
"OID20543",6.19699479548595,"P58294","84432"
"OID20410",6.0795393597615,"P06681","717"
"OID20602",6.00961727787512,"Q9NQ25","57823"
"OID21528",5.91618772455958,"P13688","634"
"OID21337",5.85085327157841,"Q14241","6924"
"OID21135",5.81321697812103,"Q16881","7296"
"OID20235",5.78433553413356,"Q8NBP7","255738"
"OID21495",5.75619341617775,"Q96J42","79770"
"OID20437",5.72945726554405,"Q9NP70","258"
"OID20676",5.68323688523939,"Q92484","10924"
"OID21017",5.64261481978391,"P15311","7430"
"OID20932",5.61547443309413,"P50453","5272"
"OID20679",5.61085487928516,"P53634","1075"
"OID21011",5.60092975602089,"P15151","5817"
"OID21150",5.56065532572468,"P17538","1504"
"OID20719",5.49592482101211,"P09603","1435"
"OID20148",5.4787498037154,"Q9H773","79077"
"OID21423",5.45044439091567,"Q10471","2590"
"OID20298",5.42379511748191,"P09093","10136"
"OID20596",5.41779519089793,"P08727","3880"
"OID20274",5.35868935182619,"P14555","5320"
"OID20941",5.35075946416104,"P38484","3460"
"OID20847",5.34145931745638,"Q03393","5805"
"OID21453",5.33989437962113,"Q00796","6652"
