"source","target","interaction"
"CCNA1","Cell Cycle Checkpoints","core_gene_in_pathway"
"CDC45","Cell Cycle Checkpoints","core_gene_in_pathway"
"CCNA2","Cell Cycle Checkpoints","core_gene_in_pathway"
"H2BC17","Cell Cycle Checkpoints","core_gene_in_pathway"
"CDC6","Cell Cycle Checkpoints","core_gene_in_pathway"
"ORC1","Cell Cycle Checkpoints","core_gene_in_pathway"
"MCM2","Cell Cycle Checkpoints","core_gene_in_pathway"
"MCM4","Cell Cycle Checkpoints","core_gene_in_pathway"
"H2BC7","Cell Cycle Checkpoints","core_gene_in_pathway"
"H2BC5","Cell Cycle Checkpoints","core_gene_in_pathway"
"MCM10","Cell Cycle Checkpoints","core_gene_in_pathway"
"H2BC9","Cell Cycle Checkpoints","core_gene_in_pathway"
"CCNA1","DNA Replication","core_gene_in_pathway"
"CDC45","DNA Replication","core_gene_in_pathway"
"CCNA2","DNA Replication","core_gene_in_pathway"
"H2BC17","DNA Replication","core_gene_in_pathway"
"CDC6","DNA Replication","core_gene_in_pathway"
"ORC1","DNA Replication","core_gene_in_pathway"
"MCM2","DNA Replication","core_gene_in_pathway"
"MCM4","DNA Replication","core_gene_in_pathway"
"H2BC7","DNA Replication","core_gene_in_pathway"
"H2BC5","DNA Replication","core_gene_in_pathway"
"MCM10","DNA Replication","core_gene_in_pathway"
"H2BC9","DNA Replication","core_gene_in_pathway"
"CCNA1","G2/M Checkpoints","core_gene_in_pathway"
"CDC45","G2/M Checkpoints","core_gene_in_pathway"
"CCNA2","G2/M Checkpoints","core_gene_in_pathway"
"H2BC17","G2/M Checkpoints","core_gene_in_pathway"
"CDC6","G2/M Checkpoints","core_gene_in_pathway"
"ORC1","G2/M Checkpoints","core_gene_in_pathway"
"MCM2","G2/M Checkpoints","core_gene_in_pathway"
"MCM4","G2/M Checkpoints","core_gene_in_pathway"
"H2BC7","G2/M Checkpoints","core_gene_in_pathway"
"H2BC5","G2/M Checkpoints","core_gene_in_pathway"
"MCM10","G2/M Checkpoints","core_gene_in_pathway"
"H2BC9","G2/M Checkpoints","core_gene_in_pathway"
